id,name,arrow1,arrow2,cell1_row,cell1_col,cell2_row,cell2_col,pic1,sec1,pic2,sec2
1,右右,R,R,4,0,4,1,que_R.png,10,que_R.png,7
2,左左,L,L,0,3,0,4,que_L.png,10,que_L.png,7
3,上上,U,U,3,4,4,4,que_U.png,10,que_U.png,7
4,下下,D,D,0,0,1,0,que_D.png,10,que_D.png,7
5,右下,R,D,4,3,3,3,que_D.png,10,que_R.png,7
6,下右,D,R,3,3,4,3,que_D.png,7,que_R.png,10
7,左下,L,D,3,1,3,0,que_L.png,7,que_D.png,10
8,下左,D,L,3,0,3,1,que_L.png,10,que_D.png,7
9,左上,L,U,0,1,1,1,que_L.png,7,que_U.png,10
10,上左,U,L,1,1,0,1,que_L.png,10,que_U.png,7
11,右上,R,U,1,3,1,4,que_R.png,7,que_U.png,10
12,上右,U,R,1,4,1,3,que_R.png,10,que_U.png,7
13,右右2,R,R,4,0,4,1,que_R.png,10,que_R.png,7
14,左左2,L,L,0,3,0,4,que_L.png,10,que_L.png,7
15,上上2,U,U,3,4,4,4,que_U.png,10,que_U.png,7
16,下下2,D,D,0,0,1,0,que_D.png,10,que_D.png,7
